physical_quantity,power
type,active
2023-08-06 02:12:00,0.094287
2023-08-06 02:12:15,0.094293
2023-08-06 02:12:33,0.051258
2023-08-06 02:12:47,0.051288
2023-08-06 02:13:04,0.051358
2023-08-06 02:13:19,0.05124
2023-08-06 02:13:36,0.051218
2023-08-06 02:13:51,0.051175
2023-08-06 02:14:09,0.109758
2023-08-06 02:14:24,0.101572
2023-08-06 02:14:41,0.098327
2023-08-06 02:14:56,0.097657
2023-08-06 02:15:13,0.099536
2023-08-06 02:15:28,0.10128
2023-08-06 02:15:45,0.104005
2023-08-06 02:16:00,0.105153
2023-08-06 02:16:17,0.105239
2023-08-06 02:16:32,0.104961
2023-08-06 02:16:49,0.104778
2023-08-06 02:17:05,0.104963
2023-08-06 02:17:22,0.051248
2023-08-06 02:17:36,0.05101
2023-08-06 02:17:53,0.050671
2023-08-06 02:18:08,0.051244
2023-08-06 02:18:25,0.051158
2023-08-06 02:18:41,0.050659
2023-08-06 02:18:58,0.051158
2023-08-06 02:19:14,0.051389
2023-08-06 02:19:30,0.051128
2023-08-06 02:19:45,0.051115
2023-08-06 02:20:02,0.051022
2023-08-06 02:20:17,0.050855
2023-08-06 02:20:34,0.050719
2023-08-06 02:20:50,0.050796
2023-08-06 02:21:06,0.051415
2023-08-06 02:21:21,0.050518
2023-08-06 02:21:38,0.050733
2023-08-06 02:21:53,0.050658
2023-08-06 02:22:10,0.050812
2023-08-06 02:22:25,0.050908
2023-08-06 02:22:42,0.050663
2023-08-06 02:22:58,0.050907
2023-08-06 02:23:14,0.050549
2023-08-06 02:23:30,0.050693
